record_id,bike_id,date,cost
MR5000,BK236,2024-05-05,181.66
MR5001,BK211,2024-05-05,88.3
MR5002,BK283,2024-05-05,39.1
MR5003,BK282,2024-05-05,76.41
MR5004,BK211,2024-05-05,150.79
MR5005,BK260,2024-05-05,176.83
MR5006,BK253,2024-05-05,49.36
MR5007,BK234,2024-05-05,81.54
MR5008,BK289,2024-05-05,119.24
MR5009,BK258,2024-05-05,42.64
MR5010,BK285,2024-05-05,96.21
MR5011,BK251,2024-05-05,56.54
MR5012,BK220,2024-05-05,114.82
MR5013,BK292,2024-05-05,39.99
MR5014,BK295,2024-05-05,118.64
MR5015,BK258,2024-05-05,183.66
MR5016,BK261,2024-05-05,133.24
MR5017,BK217,2024-05-05,20.96
MR5018,BK255,2024-05-05,24.4
MR5019,BK212,2024-05-05,101.59
MR5020,BK214,2024-05-05,140.49
MR5021,BK236,2024-05-05,140.21
MR5022,BK202,2024-05-05,184.38
MR5023,BK251,2024-05-05,162.35
MR5024,BK227,2024-05-05,196.13
MR5025,BK217,2024-05-05,56.76
MR5026,BK235,2024-05-05,94.31
MR5027,BK225,2024-05-05,38.61
MR5028,BK216,2024-05-05,196.59
MR5029,BK256,2024-05-05,78.98
MR5030,BK255,2024-05-05,109.58
MR5031,BK258,2024-05-05,156.51
MR5032,BK247,2024-05-05,26.25
MR5033,BK282,2024-05-05,22.51
MR5034,BK238,2024-05-05,128.86
MR5035,BK247,2024-05-05,166.82
MR5036,BK253,2024-05-05,166.79
MR5037,BK274,2024-05-05,32.54
MR5038,BK273,2024-05-05,179.43
MR5039,BK299,2024-05-05,153.6
MR5040,BK282,2024-05-05,26.06
MR5041,BK216,2024-05-05,91.66
MR5042,BK296,2024-05-05,52.27
MR5043,BK287,2024-05-05,195.68
MR5044,BK215,2024-05-05,150.13
MR5045,BK205,2024-05-05,125.8
MR5046,BK210,2024-05-05,42.96
MR5047,BK260,2024-05-05,23.23
MR5048,BK212,2024-05-05,181.56
MR5049,BK284,2024-05-05,194.5
MR5050,BK249,2024-05-05,161.22
MR5051,BK287,2024-05-05,54.08
MR5052,BK211,2024-05-05,169.43
MR5053,BK239,2024-05-05,145.69
MR5054,BK249,2024-05-05,169.14
MR5055,BK208,2024-05-05,112.47
MR5056,BK285,2024-05-05,58.67
MR5057,BK275,2024-05-05,125.52
MR5058,BK221,2024-05-05,52.15
MR5059,BK218,2024-05-05,156.49
MR5060,BK266,2024-05-05,130.96
MR5061,BK281,2024-05-05,135.19
MR5062,BK257,2024-05-05,128.92
MR5063,BK286,2024-05-05,88.65
MR5064,BK288,2024-05-05,154.41
MR5065,BK262,2024-05-05,109.1
MR5066,BK288,2024-05-05,145.32
MR5067,BK271,2024-05-05,117.84
MR5068,BK236,2024-05-05,31.7
MR5069,BK282,2024-05-05,141.05
MR5070,BK223,2024-05-05,182.56
MR5071,BK299,2024-05-05,182.65
MR5072,BK261,2024-05-05,51.88
MR5073,BK268,2024-05-05,164.55
MR5074,BK241,2024-05-05,161.45
MR5075,BK203,2024-05-05,189.37
MR5076,BK274,2024-05-05,80.36
MR5077,BK284,2024-05-05,161.31
MR5078,BK247,2024-05-05,119.81
MR5079,BK290,2024-05-05,24.8
MR5080,BK289,2024-05-05,194.25
MR5081,BK230,2024-05-05,28.12
MR5082,BK205,2024-05-05,25.91
MR5083,BK270,2024-05-05,37.65
MR5084,BK252,2024-05-05,169.41
MR5085,BK242,2024-05-05,170.14
MR5086,BK273,2024-05-05,118.71
MR5087,BK211,2024-05-05,170.01
MR5088,BK218,2024-05-05,70.75
MR5089,BK252,2024-05-05,104.69
MR5090,BK258,2024-05-05,48.54
MR5091,BK263,2024-05-05,171.79
MR5092,BK215,2024-05-05,62.01
MR5093,BK205,2024-05-05,132.71
MR5094,BK203,2024-05-05,157.45
MR5095,BK237,2024-05-05,194.22
MR5096,BK280,2024-05-05,131.3
MR5097,BK285,2024-05-05,31.31
MR5098,BK292,2024-05-05,98.67
MR5099,BK229,2024-05-05,129.39
